user,rating,date,review
Raymond,"5,0",10 février 2019,"Très esthétique, agréable au toucher, réactif avec de nombreuses fonctions. Une caméra de très bonne qualité, il n'y a que du bon. L'écran est son plus gros atout à mon sens! Le borderless fait en sorte que le téléphone ait une taille raisonnable! Le format très vertical est vraiment très utile."
Gana,"4,0",17 mars 2019,"Les points forts :
* L'autonomie (2 à 3 jours selon les usages)
* Paiement par NFC très rapide
Les points faibles :
* Notifications fonctionnent mal
* Rétro-eclérage dans le noir"
Client d'Amazon,"5,0",13 janvier 2019,"Achat il y a peu de temps. Entièrement satisfaite,le téléphone est rapide avec un bonne memoire de stockage. La qualité du son est un moins performante que Samsung.
Le seule point negatif a été la livraison mais réglé par Amazon avec un dédommagement."
remy pointel,"5,0",20 octobre 2018,"très bon produit, bonne visibilité  , livraison comme prévue"
routier huguette et bruno,"5,0",11 février 2019,Un très bon téléphone avec une très bonne autonomie.en utilisant les jeux et les différentes applications la batterie tient toute la journée aisément. Très Facile d'utilisation. Et très bon rapport qualité prix.
Client d'Amazon,"5,0",25 mai 2019,"Une très bonne qualité, mais c'est dommage que il ya beaucoup de pub sur l'écran à chaque fois que il est allumé.
Mais en bonne qualité pour le prix.
Je suis content, même avec le retard en livraison.
Observation. Just il faut plus faire livraison avec le colis privé.
Ils sont nulle et aucun respect avec les clients que cherche par tout les colis que sont confié à eux.
Merci"
Tweed,"5,0",11 mai 2019,"Ayant acheté ce modèle il y a un moment, mon conjoint conquis me l'a réclamer! Fidèle à huawei, nous sommes ravis de nos achats.
Une bonne autonomie (accro aux jeux sur portable), une capacité de mémoire plus qu'interessante, ce portable saura vous combler."
Mathilde Land,"5,0",30 mai 2019,J'aime beaucoup ce téléphone ! Très beau esthétiquement il a aussi une très bonne autonomie et une superbe qualité de photos avant et arrière.
CAROLO24,"5,0",28 mai 2019,"Très joli portable, bonne facilité à utiliser. Je ne regrette pas mon achat, je suis ravie, me convient parfaitement."
caroline,"4,0",7 mai 2019,"Très bon téléphone , bon rapport qualité-prix. Les photos sont superbes . Les couleurs sont belles . Très facile à utiliser ."
Erich Groeger,"3,0",14 mars 2019,Le téléphone est arrivé parfaitement. mais la boîte est arrivée très gâtée. C'est la version internationale allemande. car ils ont plusieurs applications installées en allemand.
