user,rating,date,review
Gaël ,"5,0",5 novembre 2018,"Appareil neuf certifié par Apple sur le site Kelpom, la garantie est d’1 an à partir d’en l’activation, produit conforme et arrive sous plastique avec emballage d’origine et accessoires. Prix défiant le site officiel Apple pour une même qualité de services."
Luis,"2,0",24 février 2019,Médiocre
amazone,"5,0",25 août 2018,"Il s'agit bien d'un Iphone 8 64 Go (carte nano Sim) dans un coffret d'origine avec tous les accessoires d'origine Apple (chargeur français, câbles)
Il s'agit du modèle MQ6H2ZD/A.
Prix 649 € avec une livraison rapide (commandé le Samedi, reçu le Mardi)"
Larbi,"1,0",24 décembre 2018,N’achetez surtout pas vos produits sur TURBADO les produits ne sont jamais effectués.
myriam.A,"5,0",22 janvier 2019,"Très bon produit, arrivé  rapidement avant la date prévue
Correspond bien à la photo
En parfait état"
Client d'Amazon,"5,0",4 octobre 2018,"Suite à l’avarie de mon IPhone 7plus, besoin d’un tel pour le travail, donc choix de prendre un modèle supérieur en attendant la réparation de l’ancien et qui dis gamme supérieure donc plus rapide et top."
Client d'Amazon,"5,0",7 mars 2019,"Très content, livraison ultrarapide et je l’ai depuis plusieurs mois. Aucun soucies."
Laure ,"5,0",30 janvier 2019,"Très facile à installer, pas de bulle. Le verre couvre parfaitement l’ecran de mon i Phone. Il répond parfaitement à mes attentes."
nadine rigal,"5,0",8 décembre 2018,"Bonjour , j’ai tenter l’achat pour seulement 560€ et contenu du résultat, très satisfait, propre , pas de rayures , fonctionnement très bien , arrivée en avance et avec un paquet d’Haribo , je recommande ce vendeur ( Seconde Hand phones ) car pour un iPhone 8 Plus le prix est pas chère et tres propre ( valeur neuf ~ 800€ )"
ken,"5,0",27 octobre 2018,"Avec un jour de retard, mais le produit est top, et bien emballé. L’iphone est très beau.
Me faire livrer à la maison c’est mieux que perdre du temps pour faire la queue en boutique. Je recommande sans hésitation."
El Az,"5,0",13 juin 2018,"habitué dIphone, ce petit bijoux fonctionne à merveille. très fluide, une capacité de stockage importante.
je recommande"
MCC,"5,0",17 mai 2018,Arrivée en avance sur les prévisions. Pour le moment pas de problème mais c'est peut-être trop tôt pour être un avis définitif.
Kevin,"5,0",28 août 2018,"Produit neuf sous blister, commandé le vendredi et reçu le samedi."
DELOUF Annie,"5,0",2 novembre 2018,"je suis entièrement satisfaite de ma commande
l'Iphone que j'ai reçu est nickel ! vraiment comme neuf
dans sa boîte
commande arrivée très rapidement comme prévu
je mets la note max : 10 sur 10"
Client d'Amazon,"5,0",21 août 2018,Arrivé neuf et fonctionnel sans défaut après 1 mois d’utilisation
Jud R.,"5,0",4 septembre 2018,"Très contente de mon achat. Téléphone arrivé sous blister, en très bon état. Il fonctionne à merveille!
De plus, livraison rapide!
Je recommande!"
loiseau,"5,0",17 mai 2019,Très bien les photos nickel de très bonne qualité je le conseil
Nicolas A.,"1,0",5 mai 2019,Article défectueux au bout d’un an et demi (batterie HS) et vendeur (RH Mobiles) qui ne répond pas aux mails pour la garantie. Apple ne peut rien faire et Amazon ne fait rien !
jégor74,"3,0",13 août 2018,"Livraison rapide
Par contre micro rayure sur l'arrière du télephone dommage pour le prix de 650 euros"
Charlotte ,"5,0",23 septembre 2018,Correspond fortement à mes attentes. C’est trop toooooop. J’aime j’aime j’aime jaime. C’est magique et facile à payer avec le paiement en plusieurs fois. Génial.
 stephane,"5,0",24 août 2018,Très rapide super
Lauracheteuse,"5,0",5 novembre 2018,Parfait! Le grand écran change la vie
Didier BOYER,"5,0",4 décembre 2018,"Produit neuf et authentique Apple, reçu dans les délais et fonctionne parfaitement. Prix correct et rien à redire sur le service Amazon."
Dhaouadi Nadia,"5,0",6 mai 2019,"J’ai déjà eu un iPhone et je n’ai jamais eu de soucis avec, donc logiquement je suis passée à cette iPhone 8 et je ne suis pas déçu, photo plus lumineuse, Siri est une aide importante, même taille que mon ancien iPhone,pratique pour le sac ."
Grâce ,"5,0",30 septembre 2018,"Je vous le recommande à 100%, je suis très satisfait de mon achat ça fait déjà un mois que je l’utilise et tout est nickel."
