user,rating,date,review
ISAGORTAZAR,"4,0",24 mai 2019,Dommage que le processeur soit très lent et il est très compliqué de se brancher à nimporte quelle wifi. et surtout à mon VPN ... (5 à 10 mn)  sinon rien à signaler de négatif...
calopsyte,"4,0",26 décembre 2018,"Acheter pour mon fils de 12 ans,conforme à notre attente ,plus écran tactile.Très rapide à l'exécution ,très jolie en couleur argent.
Je le recommande.
Calopsyte"
Marie Claude,"4,0",6 mai 2019,"L'article est conforme à la description. Bon rapport qualité/prix. Pour les personnes qui souhaitent cet appareil, il faut qu'elles se renseignent sur les caractéristiques et les limites de Google OS"
Lthm2,"4,0",29 décembre 2018,"Correspond à mes attentes. Pour ceux qui cherchent un ordinateur pour regarder des films, il faut noter que la qualité vidéo de l'écran est assez basse."
Thierry,"5,0",31 décembre 2018,Très bon rapport qualité prix.
Misszelda,"5,0",30 avril 2019,Réponds totalement à mes attentes... excellent pour la bureautique et naviguer sur internet...
Client d'Amazon,"5,0",8 février 2019,Pas de son sur pornhub
Geppetto1971,"4,0",23 décembre 2018,"Une seule remarque que la qualité du son : perfectible. Le reste très content, compte tenu du prix."
Fruitier,"5,0",19 mai 2019,Il les pratiques et léger pour enmener partout mois c'est pour mettre des documents
Monique BOON,"5,0",22 mai 2019,bon achat conseillé par un de mes petits fils pour rester connecter en dehors du domicile!
